code,companyName,listedDate,type,floor,shortName,companyNameEng,isin,status,indexCode
TJC,Công ty Cổ phần Dịch vụ Vận tải và Thương mại ,2007-12-17,STOCK,HNX,DV V.tải & T.mại,Transporation And Trading Services Joint Stock Company,VN000000TJC1,listed,
NTL,Công ty Cổ phần Phát triển đô thị Từ Liêm,2007-12-21,STOCK,HOSE,PT đô thị Từ Liêm,Tu Liem Urban Development Joint Stock Company,VN000000NTL4,listed,
NNT,Công ty Cổ phần Cấp nước Ninh Thuận,2012-06-22,STOCK,UPCOM,Cấp nc Ninh Thuận,Ninh Thuan Water Supply Joint Stock Company,VN000000NNT0,listed,
VC7,Công ty Cổ phần Xây dựng số 7 ,2007-12-28,STOCK,HNX,Xây dựng số 7,No7 Vietnam Construction Joint Stock Company,VN000000VC70,listed,
NAB,Ngân hàng Thương mại Cổ phần Nam Á,2020-10-09,STOCK,UPCOM,NH Nam Á,Nam A Commercial Joint Stock Bank,VN000000NAB5,listed,
BAB,Ngân hàng Thương mại cổ phần Bắc Á,2017-12-28,STOCK,UPCOM,Ngân hàng Bắc Á,Bac A Commercial Joint Stock Bank,VN000000BAB0,listed,
HVG,Công ty Cổ phần Hùng Vương ,2020-08-13,STOCK,UPCOM,CTCP Hùng Vương,Hung Vuong Corporation,VN000000HVG2,listed,
CTC,Công ty Cổ phần Gia Lai CTC,2008-07-18,STOCK,HNX,CTCP Gia Lai CTC,CTC Gia Lai Joint Stock Company,VN000000CTC6,listed,
HSG,Công ty Cổ phần Tập đoàn Hoa Sen ,2008-12-05,STOCK,HOSE,Tập đoàn Hoa Sen,HOA SEN Group,VN000000HSG8,listed,
SD8,Công ty Cổ phần Sông Đà 8,2015-12-25,STOCK,UPCOM,CTCP Sông Đà 8,Song Da 8 Joint Stock Company,VN000000SD82,listed,
MTC,Công ty Cổ phần Dịch vụ du lịch Mỹ Trà,2012-08-17,STOCK,UPCOM,DV du lịch Mỹ Trà,My Tra Tourist Joint - Stock Company,VN000000MTC5,listed,
ACC,Công ty cổ phần Đầu tư và Xây dựng Bình Dương ACC,2011-06-30,STOCK,HOSE,Bình Dương ACC,ACC Binh Duong Investment and Contstruction Joint Stock Company,VN000000ACC6,listed,
OIL,Tổng Công ty Dầu Việt Nam – Công ty cổ phần,2018-03-07,STOCK,UPCOM,TCT Dầu Việt Nam,PETROVIETNAM OIL CORPORATION,VN000000OIL5,listed,
HAC,Công ty cổ phần Chứng khoán Hải Phòng,2016-10-18,STOCK,UPCOM,CK Hải Phòng,Hai Phong Securities Joint Stock Company,VN000000HAC5,listed,
SHP,Công ty Cổ phần Thủy điện miền Nam ,2014-07-21,STOCK,HOSE,Th.điện Miền Nam,Southern Hydropower Joint Stock Company,VN000000SHP9,listed,
PRO,Công ty Cổ phần Procimex Việt Nam,2014-10-10,STOCK,UPCOM,Procimex Việt Nam,PROCIMEX VIETNAM JOINT STOCK COMPANY,VN000000PRO7,listed,
TNM,Công ty Cổ phần Xuất nhập khẩu và Xây dựng công trình ,2009-10-27,STOCK,UPCOM,XNK & XD C.trình,Tranimexco Transportation Import - Export And Construction Joint Stock Company,VN000000TNM2,listed,
PMC,Công ty Cổ phần Dược phẩm dược liệu Pharmedic ,2009-10-09,STOCK,HNX,Dược Pharmedic,Pharmedic Pharmaceutical Medicinal Joint Stock Company.,VN000000PMC3,listed,
V12,Công ty Cổ phần Xây dựng số 12,2010-01-05,STOCK,HNX,Xây dựng số 12,Construction Joint Stock Company No 12,VN000000V127,listed,
LIX,Công ty Cổ phần Bột giặt Lix,2009-12-10,STOCK,HOSE,CTCP Bột giặt Lix,LIX Dettergent Joint Stock Company,VN000000LIX6,listed,
SHN,Công ty Cổ phần Đầu tư Tổng hợp Hà Nội,2009-12-16,STOCK,HNX,ĐT Tổng hợp Hà Nội,Hanoi Investment General Corporation,VN000000SHN4,listed,
V15,Công ty Cổ phần Xây dựng số 15,2015-07-21,STOCK,UPCOM,Xây dựng số 15,Vinaconex 15 Joint Stock Company,VN000000V150,listed,
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,2009-12-22,STOCK,HOSE,Dat Xanh Group,Dat Xanh Group Joint Stock Company,VN000000DXG7,listed,
TPB,Ngân hàng Thương mại cổ phần Tiên Phong,2018-04-19,STOCK,HOSE,Ng.hàng Tiên Phong,Tien Phong Commercial Joint Stock Bank,VN000000TPB0,listed,
TCL,Công ty Cổ phần Đại lý giao nhận Vận tải xếp dỡ Tân Cảng ,2009-12-24,STOCK,HOSE,Vận tải Tân Cảng,Tan Cang Logistics And Stevedoring Joint Stock Company,VN000000TCL7,listed,
TDC,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,2010-05-04,STOCK,HOSE,KD P.triển Bình Dg,BinhDuong Trade And Development Joint Stock Company,VN000000TDC4,listed,
TVG,Công ty Cổ phần Tư vấn đầu tư và Xây dựng giao thông vận tải,2010-01-25,STOCK,UPCOM,T.vấn Đ.tư XD GTVT,Transport Investment And Construction Consultant Joint Stock Company,VN000000TVG7,listed,
KDH,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền,2010-02-01,STOCK,HOSE,Nhà Khang Điền,Khang Dien House Trading and Investment Joint Stock Company,VN000000KDH2,listed,VN30
PSB,Công ty Cổ phần Đầu tư Dầu khí Sao Mai - Bến Đình,2010-02-25,STOCK,UPCOM,Đ.tư DK S.Mai BĐ,Sao Mai – Ben Dinh Petroleum Investment Joint Stock Company,VN000000PSB2,listed,
VQC,Công ty Cổ phần Giám định Vinacomin,2010-02-26,STOCK,UPCOM,Gi.định Vinacomin,Vinacomin-Quacontrol Joint Stock Company,VN000000VQC2,listed,
LHG,Công ty Cổ phần Long Hậu ,2010-03-23,STOCK,HOSE,CTCP Long Hậu,Long Hau Corporation,VN000000LHG3,listed,
STS,Công ty Cổ phần Dịch vụ Vận tải Sài Gòn,2010-03-30,STOCK,UPCOM,DV V.tải Sài Gòn,SaiGon Transport Agency Joint Stock Company,VN000000STS8,listed,
CCI,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,2010-04-15,STOCK,HOSE,Thương mại Củ Chi,CuChi Commercial And Industrial Developing Investment Joint Stock Company,VN000000CCI9,listed,
PVL,Công ty cổ phần Đầu tư Nhà đất Việt,2010-04-15,STOCK,HNX,ĐT Nhà đất Việt,Viet Property Investment Joint Stock Company,VN000000PVL5,listed,
CHP,Công ty Cổ phần Thủy điện miền Trung,2016-09-29,STOCK,HOSE,Th.điện M.Trung,Central Hydropower Joint Stock Company,VN000000CHP3,listed,
PTT,Công ty Cổ phần Vận tải Dầu khí Đông Dương,2010-04-29,STOCK,UPCOM,D.khí Đông Dương,Indochina Petroleum Transportation Joint Stock Company,VN000000PTT2,listed,
DNY,Công ty Cổ phần Thép Dana - Ý ,2020-06-12,STOCK,UPCOM,Thép Dana - Ý,DANA-Y Steel Joint Stock Company,VN000000DNY1,listed,
PXT,Công ty Cổ phần Xây lắp Đường ống Bể chứa Dầu khí,2010-06-01,STOCK,HOSE,X.lắp Đ.ống D.khí,Petroleum Pipeline & Tank Construction Joint Stock Company,VN000000PXT4,listed,
DTL,Công ty Cổ phần Đại Thiên Lộc ,2010-06-04,STOCK,HOSE,CTCP Đại Thiên Lộc,Dai Thien Loc Corporation,VN000000DTL5,listed,
BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,2010-06-28,STOCK,HOSE,XD & GT Bình Dg,Binh Duong Construction And Civil Engineering Joint Stock Company,VN000000BCE0,listed,
ND2,Công ty Cổ phần Đầu tư và Phát triển điện miền Bắc 2,2010-07-22,STOCK,UPCOM,Điện miền Bắc 2,Northern Electricity Eevelopment And Investment Joint Stock Company No.2,VN000000ND20,listed,
VRC,Công ty cổ phần Bất động sản và Đầu tư VRC,2010-07-26,STOCK,HOSE,BĐS & Đ.tư VRC,VRC Real Estate and Investment Joint stok company,VN000000VRC0,listed,
TMB,Công ty Cổ phần Kinh doanh Than miền Bắc - Vinacomin,2017-01-16,STOCK,HNX,Than miền Bắc,Vinacomin - North Coal Trading Joint Stock Company,VN000000TMB7,listed,
HPP,Công ty Cổ phần Sơn Hải Phòng ,2010-08-05,STOCK,UPCOM,CTCP Sơn Hải Phòng,Hai Phong Paint Join Stock Company,VN000000HPP5,listed,
BVG,Công ty Cổ phần Thép Bắc Việt,2015-11-20,STOCK,UPCOM,Thép Bắc Việt,BACVIET Steel Joint Stock Company,VN000000BVG5,listed,
CTR,Công ty cổ phần Công trình Viettel,2017-10-31,STOCK,UPCOM,Công trình Viettel,Viettel Construction Joint Stock Company,VN000000CTR4,listed,
NDN,Công ty Đầu tư Phát triển Nhà Đà Nẵng ,2011-04-21,STOCK,HNX,ĐTPT Nhà Đà Nẵng,Danang Housing Investment Development Joint Stock Company,VN000000NDN4,listed,HNX30
TPS,Công ty Cổ phần Bến bãi vận tải Sài Gòn,2015-12-01,STOCK,UPCOM,Bến bãi V.tải SG,SAIGONTRANSPORTATIONPARKINGJOINTSTOCKCOMPANY,VN000000TPS4,listed,
C32,Công ty cổ phần CIC39,2012-11-30,STOCK,HOSE,CTCP CIC30,CIC39 CORPORATION,VN000000C325,listed,
QCC,Công ty Cổ phần Đầu tư xây dựng và phát triển hạ tầng viễn thông,2014-06-06,STOCK,UPCOM,ĐTPT H.tầng V.thông,Construction investment and telecommunications infrastructure development joint stock company,VN000000QCC2,listed,
ELC,Công ty Cổ phần Đầu tư Phát triển Công nghệ điện tử - Viễn thông ,2010-10-13,STOCK,HOSE,C.nghệ Đ.tử V.thông,Electronics Communications Technology Investment Development Corporation,VN000000ELC9,listed,
FIT,Công ty cổ phần Tập đoàn F.I.T,2015-08-19,STOCK,HOSE,Tập đoàn F.I.T,F.I.T Group Joint Stock Company,VN000000FIT6,listed,
HTI,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,2010-12-20,STOCK,HOSE,ĐTPT Hạ tầng IDICO,Idico Infrastructure Development Investment Joint Stock Company,VN000000HTI2,listed,
HUG,Tổng công ty May Hưng Yên - Công ty Cổ phần,2017-12-18,STOCK,UPCOM,May Hưng Yên,Hung Yen Garment Corporation - Joint Stock Company,VN000000HUG4,listed,
HTL,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,2011-01-10,STOCK,HOSE,Ô tô Trường Long,Truong Long Engineering And Auto Joint Stock Company,VN000000HTL6,listed,
PPS,Công ty Cổ phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam ,2011-01-07,STOCK,HNX,KT Đ.lực DK VN,PetroVietnam Power Services Joint Stock Company,VN000000PPS2,listed,
MCF,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm (Mecofood),2011-02-14,STOCK,HNX,Th.phẩm Mecofood,Mechanics Construction And Foodstuff Joint - Stock Company,VN000000MCF4,listed,
VIE,Công ty Cổ phần Công nghệ Viễn thông VITECO,2011-05-06,STOCK,HNX,C.nghệ V.thông VITECO,VITECO Vietnam Telecommunications Technology Joint Stock Company,VN000000VIE5,listed,
MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,2017-12-15,STOCK,UPCOM,Máy T.bị C.nghiệp,Machines and Industrial Equipment Corporation,VN000000MIE4,listed,
AMC,Công ty Cổ phần Khoáng sản Á Châu,2012-02-15,STOCK,HNX,K.sản Á Châu,Asia Mineral Join Stock Company,VN000000AMC5,listed,
ASA,Công ty Cổ phần Hàng tiêu dùng ASA,2019-06-21,STOCK,UPCOM,Hàng tiêu dùng ASA,ASA Consumer Product Joint Stock Company,VN000000ASA6,listed,
GSP,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,2012-03-09,STOCK,HOSE,V.tải SP khí Q.Tế,international gas product shipping joint stock company,VN000000GSP1,listed,
GAS,Tổng Công ty Khí Việt Nam - CTCP,2012-05-21,STOCK,HOSE,TCT Khí Việt Nam,PetroVietNam Gas Joint Stock Corporation,VN000000GAS3,listed,VN30
PID,Công ty Cổ phần Trang trí nội thất Dầu khí ,2015-07-31,STOCK,UPCOM,Nội thất Dầu khí,Petroleum Interior Decoration Joint Stock Company,VN000000PID9,listed,
SPI,Công ty Cổ phần SPI,2012-09-26,STOCK,HNX,CTCP SPI,SPI Joint Stock Company,VN000000SPI7,listed,
LPB,Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt,2020-11-09,STOCK,HOSE,LienVietPostBank,Lien Viet Post Joint Stock Commercial Bank,VN000000LPB7,listed,
VFS,Công ty cổ phần chứng khoán Nhất Việt,2020-07-01,STOCK,UPCOM,CK Nhất Việt,Viet First Securities Corporation,VN000000VFS1,listed,
UEM,Công ty Cổ phần cơ điện Uông Bí,2015-09-24,STOCK,UPCOM,Cơ điện Uông Bí,Vinacomin - Uong Bi Electric Mechanical Joint Stock Company,VN000000UEM9,listed,
AFX,Công ty Cổ phần Xuất nhập khẩu Nông sản thực phẩm An Giang,2016-12-02,STOCK,UPCOM,XNK N.sản An Giang,An Giang Agriculture and Foods Import-Export Joint Stock Company,VN000000AFX5,listed,
LEC,Công ty Cổ phần Bất động sản Điện lực Miền Trung,2017-06-14,STOCK,HOSE,BĐS Đ.lực M.Trung,Central power Real Estate Joint stock company,VN000000LEC9,listed,
MCH,Công ty cổ phần Hàng Tiêu Dùng Masan,2017-01-05,STOCK,UPCOM,Tiêu Dùng Masan,Masan Consumer Corporation,VN000000MCH0,listed,
PVY,Công ty cổ phần Chế tạo Giàn khoan Dầu khí,2017-12-29,STOCK,UPCOM,Giàn khoan D.khí,PetrovietNam Marine Shipyard Joint Stock Company,VN000000PVY8,listed,
NCS,Công ty cổ phần Suất ăn hàng không Nội Bài,2015-12-02,STOCK,UPCOM,Suất ăn HK Nội Bài,Noibai Catering Services Joint Stock Company,VN000000NCS5,listed,
VMS,Công ty Cổ phần Phát triển Hàng hải,2015-10-20,STOCK,HNX,P.triển Hàng hải,Vietnam Maritime Development Joint Stock Company,VN000000VMS7,listed,
NAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Nội Bài,2017-01-25,STOCK,UPCOM,DV sân bay Nội Bài,Noibai Airport Services Joint Stock Company,VN000000NAS9,listed,
PNT,Công ty Cổ phần Kỹ thuật Xây dựng Phú Nhuận,2017-01-12,STOCK,UPCOM,KT XD Phú Nhuận,Phu Nhuan Technical Construction Joint Stock Company,VN000000PNT5,listed,
DC1,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,2016-07-19,STOCK,UPCOM,ĐTPT Xây dựng 1,Development Investment Construction Number 1 Joint Stock Company,VN000000DC15,listed,
NAC,Công ty cổ phần Tư vấn Xây dựng Tổng hợp,2017-03-21,STOCK,UPCOM,T.vấn XD Tổng hợp,National Of General Construction Consultants Joint Stock Company,VN000000NAC3,listed,
GTN,Công ty cổ phần GTNFOODS,2014-10-03,STOCK,HOSE,GTN FOODS,GTNFOODS Joint Stock Company,VN000000GTN4,listed,
VLC,Tổng Công ty Chăn nuôi Việt Nam - CTCP,2015-10-26,STOCK,UPCOM,TCT Chăn nuôi VN,Vietnam Livestock Corporation Joint Stock Company,VN000000VLC3,listed,
VCP,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Năng lượng Vinaconex,2016-12-16,STOCK,UPCOM,N.lượng Vinaconex,Vinaconex Power Development and Construction Investment Joint Stock Company,VN000000VCP4,listed,
TEC,Công ty Cổ phần Traenco,2017-04-24,STOCK,UPCOM,CTCP Traenco,Traenco Joint Stock Company,VN000000TEC2,listed,
